Unnamed: 0,user,artist_ids
0,teori,1
1,teori,2
2,teori,3
3,teori,4
4,teori,5
5,teori,8201
6,teori,8202
7,teori,1695753
8,teori,13
9,teori,811025
10,teori,2433043
11,teori,2433047
12,teori,26
13,teori,27
14,teori,581663
15,teori,31
16,teori,73762
17,teori,45
18,teori,24626
19,teori,24627
20,teori,57397
21,teori,262200
22,teori,62
23,teori,8260
24,teori,8265
25,teori,49225
26,teori,81
27,teori,2687058
28,teori,85
29,teori,87
30,teori,89
31,teori,49243
32,teori,49244
33,teori,94
34,teori,96
35,teori,3358818
36,teori,8291
37,teori,24681
38,teori,8299
39,teori,108
40,teori,1163373
41,teori,24688
42,teori,24689
43,teori,119
44,teori,24699
45,teori,155776
46,teori,129
47,teori,155784
48,teori,8330
49,teori,24718
50,teori,24723
51,teori,149
52,teori,688281
53,teori,843937
54,teori,164
55,teori,170
56,teori,303275
57,teori,190
58,teori,194
59,teori,114892
60,teori,205
61,teori,206
62,teori,3768533
63,teori,827608
64,teori,219
65,teori,540894
66,teori,319713
67,teori,278760
68,teori,232
69,teori,239
70,teori,1171696
71,teori,1728757
72,teori,336131
73,teori,123141
74,teori,268
75,teori,269
76,teori,2973974
77,teori,2908442
78,teori,2384157
79,teori,2081054
80,teori,139571
81,teori,307
82,teori,310
83,teori,1884474
84,teori,318
85,teori,1622339
86,teori,1327431
87,teori,8520
88,teori,139591
89,teori,704844
90,teori,2679120
91,teori,409937
92,teori,340
93,teori,344
94,teori,355
95,teori,1220968
96,teori,365
97,teori,598384
98,teori,371
99,teori,237940
100,teori,373
101,teori,8566
102,teori,8565
103,teori,49529
104,teori,123263
105,teori,16768
106,teori,390
107,teori,8583
108,teori,16776
109,teori,395
110,teori,2441618
111,teori,639379
112,teori,180627
113,teori,639381
114,teori,24979
115,teori,416
116,teori,417
117,teori,3064235
118,teori,429
119,teori,623023
120,teori,2736570
121,teori,598469
122,teori,1917384
123,teori,25032
124,teori,459
125,teori,466
126,teori,491
127,teori,205291
128,teori,8685
129,teori,950768
130,teori,496
131,teori,499
132,teori,33268
133,teori,501
134,teori,25077
135,teori,279031
136,teori,3129852
137,teori,16893
